base_country,to_country,distance,distance_units,transaction_cost
AE,BW,3719.3924838845605,7.0,17.0
AE,BY,2487.515849336148,5.0,15.0
AE,BZ,8650.943639845074,17.0,27.0
AE,CA,6818.68695657043,14.0,24.0
AE,CC,3807.745882665125,8.0,18.0
AE,CD,2876.212881391767,6.0,16.0
AE,CF,2473.99372989349,5.0,15.0
AE,CG,3029.024174755755,6.0,16.0
AE,CH,2984.3702443170005,6.0,16.0
AE,CI,4075.372493727915,8.0,18.0
AE,CK,10287.207652001054,21.0,31.0
AE,CL,9090.596352389159,18.0,28.0
AE,CM,2963.657966315347,6.0,16.0
AE,CN,3107.4066604799805,6.0,16.0
AE,CO,8445.060853092336,17.0,27.0
AE,CR,8768.404929762613,18.0,28.0
AE,CU,7939.643384103081,16.0,26.0
AE,CV,5032.660856673302,10.0,20.0
AE,CX,4211.926442023842,8.0,18.0
AE,CY,1467.6236710691176,3.0,13.0
AE,CZ,2752.5370663282433,6.0,16.0
AE,DE,2991.8499893835465,6.0,16.0
AE,DJ,1090.4992828710785,2.0,12.0
AE,DK,3176.3016810810514,6.0,16.0
AE,DM,7305.763067439981,15.0,25.0
AE,DO,7669.343501887019,15.0,25.0
AE,DZ,3239.9053913916046,6.0,16.0
AE,EC,8899.961189627478,18.0,28.0
AE,EE,2811.9788698613806,6.0,16.0
AE,EG,1458.5325084218923,3.0,13.0
AE,EH,4174.724107678513,8.0,18.0
AE,ER,1078.573080716754,2.0,12.0
AE,ES,3509.6570998879984,7.0,17.0
AE,ET,1323.9473072964386,3.0,13.0
AE,FI,2968.977524286248,6.0,16.0
AE,FJ,8890.85757005367,18.0,28.0
AE,FK,8464.915480902107,17.0,27.0
AE,FM,6435.570433804754,13.0,23.0
AE,FO,3856.683506083901,8.0,18.0
AE,FR,3252.49720336561,7.0,17.0
AE,GA,3292.089268757635,7.0,17.0
AE,GB,3626.6709299762447,7.0,17.0
AE,GD,7428.373411092137,15.0,25.0
AE,GE,1437.5161655310321,3.0,13.0
AE,GF,7177.747036699357,14.0,24.0
AE,GG,3510.828388859877,7.0,17.0
AE,GH,3779.2728240437377,8.0,18.0
AE,GI,3601.4015725915942,7.0,17.0
AE,GL,4823.645394625536,10.0,20.0
AE,GM,4546.251415729544,9.0,19.0
AE,GN,4275.570890974352,9.0,19.0
AE,GP,7289.65475096178,15.0,25.0
AE,GQ,3280.33237666905,7.0,17.0
AE,GR,2162.0902059999735,4.0,14.0
AE,GS,7538.911291442467,15.0,25.0
AE,GT,8800.310524438266,18.0,28.0
AE,GU,5910.5271541730335,12.0,22.0
AE,GW,4577.265804939332,9.0,19.0
AE,GY,7509.124991815496,15.0,25.0
AE,GZ,1315.2793158242282,3.0,13.0
AE,HK,3806.340826572985,8.0,18.0
AE,HM,5416.321158366038,11.0,21.0
AE,HN,8643.484619401279,17.0,27.0
AE,HR,2629.208481674542,5.0,15.0
AE,HT,7771.974999424428,16.0,26.0
AE,HU,2503.432142140226,5.0,15.0
AE,ID,4360.594967319119,9.0,19.0
AE,IE,3792.3272283819465,8.0,18.0
AE,IL,1277.8829492552197,3.0,13.0
AE,IM,3653.0561324004325,7.0,17.0
AE,IN,1618.6017390338466,3.0,13.0
AE,IO,2389.6801550438777,5.0,15.0
AE,IQ,915.9307153149512,2.0,12.0
AE,IR,622.1817287861074,1.0,11.0
AE,IS,4260.916946731006,9.0,19.0
AE,IT,2684.1466320871687,5.0,15.0
AE,JE,3487.794302562265,7.0,17.0
AE,JM,8067.423985643313,16.0,26.0
AE,JO,1189.6639185741117,2.0,12.0
AE,JP,4983.126058617028,10.0,20.0
AE,KE,1941.4520323133363,4.0,14.0
AE,KG,1723.3464043203608,3.0,13.0
AE,KH,3425.7275193463547,7.0,17.0
AE,KI,9276.02692401465,19.0,29.0
AE,KM,2530.4530294863644,5.0,15.0
AE,KN,7317.035655223743,15.0,25.0
AE,KP,4352.52231645467,9.0,19.0
AE,KR,4419.157817925943,9.0,19.0
AE,KW,566.14399445315,1.0,11.0
AE,KY,8166.612491714575,16.0,26.0
AE,KZ,1844.9384285222534,4.0,14.0
AE,LA,3119.7348980413526,6.0,16.0
AE,LB,1303.9911747101644,3.0,13.0
AE,LC,7335.336933292697,15.0,25.0
AE,LI,2931.8717762468686,6.0,16.0
AE,LK,2081.9281944373733,4.0,14.0
AE,LR,4350.505415295484,9.0,19.0
AE,LS,4039.9123722070444,8.0,18.0
AE,LT,2674.5248859428552,5.0,15.0
AE,LU,3137.4762674730723,6.0,16.0
